name,height(cm),weight(Ibs),age,avg_score
Patrick Cantlay,183,190,32,69.736
Justin Thomas,178,160,31,69.773
Xander Schauffele,178,175,30,69.859
Daniel Berger,185,175,31,69.862
Viktor Hovland,178,165,26,69.888
Webb Simpson,188,185,38,69.901
Tony Finau,193,200,34,69.972
Rory McIlroy,178,160,35,70.043
Will Zalatoris,188,175,27,70.065
Corey Conners,183,190,32,70.067
Collin Morikawa,175,160,27,70.109
Harris English,191,185,34,70.115
Russell Henley,183,180,35,70.117
Jordan Spieth,185,175,30,70.118
Brian Harman,170,150,37,70.158
Sam Burns,185,185,27,70.184
Sungjae Im,183,200,26,70.281
Shane Lowry,185,216,37,70.318
Charley Hoffman,183,200,47,70.326
Scottie Scheffler,191,200,27,70.326
Emiliano Grillo,175,175,31,70.338
Kevin Streelman,178,175,45,70.341
Zach Johnson,180,164,48,70.401
Chris Kirk,191,175,39,70.444
Adam Scott,183,180,43,70.447
Jhonattan Vegas,191,230,39,70.486
Keegan Bradley,191,190,37,70.489
Seamus Power,191,200,37,70.495
Matt Fitzpatrick,178,155,29,70.512
Patton Kizzire,196,220,38,70.541
Hideki Matsuyama,180,198,32,70.563
Doug Ghim,175,165,28,70.57
Stewart Cink,193,205,51,70.576
Matt Wallace,185,187,34,70.594
Aaron Wise,185,182,27,70.671
Erik van Rooyen,191,194,34,70.674
Justin Rose,191,195,43,70.678
Max Homa,185,180,33,70.745
Maverick McNealy,185,170,28,70.764
Cam Davis,193,181,29,70.779
Alex Noren,180,165,41,70.78
Lanto Griffin,191,190,35,70.788
Sepp Straka,191,235,31,70.792
Jason Day,183,195,36,70.815
Brice Garnett,180,175,40,70.82
Brendon Todd,191,180,38,70.842
Lucas Glover,188,195,44,70.861
Roger Sloan,188,175,37,70.866
Si Woo Kim,180,182,28,70.872
James Hahn,185,180,42,70.897
Ryan Palmer,180,175,47,70.92
Ryan Armour,175,170,48,70.922
C.T. Pan,168,145,32,70.922
Russell Knox,178,170,38,70.923
Brian Stuard,178,175,41,70.924
Billy Horschel,183,175,37,70.925
Troy Merritt,183,160,38,70.942
Scott Stallings,183,195,39,70.952
Adam Hadwin,173,165,36,70.961
Mackenzie Hughes,185,180,33,71.018
Andrew Putnam,185,170,35,71.019
Luke List,188,190,39,71.02
Mark Hubbard,183,175,35,71.033
Brandt Snedeker,185,185,43,71.037
Tommy Fleetwood,180,168,33,71.046
Adam Schenk,188,190,32,71.054
Denny McCarthy,175,165,31,71.057
Chez Reavie,175,160,42,71.075
Scott Piercy,183,185,45,71.1
Camilo Villegas,175,160,42,71.109
Chesson Hadley,193,175,36,71.134
John Huh,183,190,34,71.134
Rory Sabbatini,178,165,48,71.141
Patrick Rodgers,188,185,31,71.16
Joel Dahmen,180,176,36,71.162
Danny Willett,180,170,36,71.164
Kyle Stanley,180,165,36,71.167
Kramer Hickok,180,178,32,71.175
Kevin Tway,191,185,35,71.175
Tom Hoge,185,175,35,71.187
Sam Ryder,188,175,34,71.187
Vince Whaley,188,185,29,71.207
Harry Higgs,188,235,32,71.212
Peter Malnati,178,159,36,71.212
Michael Thompson,183,184,39,71.215
Kevin Kisner,180,165,40,71.216
J.T. Poston,188,165,30,71.221
K.H. Lee,175,176,32,71.227
Matt Kuchar,193,195,45,71.25
Jason Dufner,178,180,47,71.253
Henrik Norlander,193,210,37,71.264
Gary Woodland,185,195,40,71.279
Wyndham Clark,183,172,30,71.283
Keith Mitchell,185,185,32,71.286
Adam Long,178,161,36,71.288
Nate Lashley,185,190,41,71.302
Vaughn Taylor,183,160,48,71.322
Rickie Fowler,175,150,35,71.33
Satoshi Kodaira,170,150,34,71.33
Bronson Burgoon,188,190,36,71.334
Robert Streb,178,165,37,71.335
Nick Taylor,183,170,36,71.344
Tyler McCumber,178,170,33,71.386
David Hearn,185,170,44,71.397
Dylan Frittelli,188,179,33,71.443
Joseph Bramlett,193,195,36,71.481
Aaron Baddeley,183,175,43,71.512
Beau Hossler,185,195,29,71.525
Richy Werenski,183,165,32,71.567
Martin Laird,188,190,41,71.576
Sean O'Hair,188,180,41,71.577
Will Gordon,191,205,27,71.597
Ben Martin,180,175,36,71.604
Josh Teater,178,180,45,71.607
Austin Cook,170,160,33,71.618
Luke Donald,175,165,46,71.656
Ben Taylor,180,200,31,71.694
Jim Herman,183,170,46,71.7
Scott Brown,173,170,41,71.754
Byeong Hun An,188,240,32,71.756
Bill Haas,188,185,42,71.763
D.J. Trahan,191,185,43,71.785
Tyler Duncan,173,150,34,71.788
Robby Shelton,183,190,28,71.807
Ryan Brehm,193,220,38,71.81
J.J. Spaun,175,185,33,71.855
Rafael Campos,178,180,36,71.919
Bo Van Pelt,193,200,49,71.97
Andrew Landry,170,150,36,72.044
Fabián Gómez,173,163,45,72.078
Cameron Champ,183,175,28,72.088
Jimmy Walker,188,180,45,72.121
"Ted Potter, Jr.",180,180,40,72.136
Brian Gay,178,165,52,72.193
J.B. Holmes,180,190,42,72.208
Sung Kang,173,165,36,72.614
Nick Watney,188,180,43,72.787
Michael Kim,180,165,30,72.809
Grayson Murray,185,200,30,73.115
Martin Trainer,185,175,33,73.131
Rory McIlroy,178,160,35,68.67
Matt Fitzpatrick,178,155,29,69.217
Scottie Scheffler,191,200,27,69.293
Xander Schauffele,178,175,30,69.462
Patrick Cantlay,183,190,32,69.468
Justin Thomas,178,160,31,69.493
Tommy Fleetwood,180,168,33,69.653
Shane Lowry,185,216,37,69.661
Will Zalatoris,188,175,27,69.698
Tony Finau,193,200,34,69.748
Sungjae Im,183,200,26,69.762
Sam Burns,185,185,27,69.768
Cameron Young,180,185,27,69.844
Collin Morikawa,175,160,27,69.863
Keith Mitchell,185,185,32,69.916
Russell Henley,183,180,35,69.933
Corey Conners,183,190,32,69.941
Aaron Wise,185,182,27,69.944
Denny McCarthy,175,165,31,69.971
Max Homa,185,180,33,69.972
Billy Horschel,183,175,37,70.023
Hideki Matsuyama,180,198,32,70.116
Viktor Hovland,178,165,26,70.163
Brian Harman,170,150,37,70.195
Jordan Spieth,185,175,30,70.24
Davis Riley,183,175,27,70.259
Maverick McNealy,185,170,28,70.282
Mark Hubbard,183,175,35,70.284
Matt Kuchar,193,195,45,70.291
J.T. Poston,188,165,30,70.295
Seamus Power,191,200,37,70.303
Christiaan Bezuidenhout,185,195,30,70.32
Troy Merritt,183,160,38,70.338
Keegan Bradley,191,190,37,70.354
Tom Hoge,185,175,35,70.366
Justin Rose,191,195,43,70.406
Adam Long,178,161,36,70.417
Chris Kirk,191,175,39,70.425
Brendon Todd,191,180,38,70.439
Scott Stallings,183,195,39,70.457
Gary Woodland,185,195,40,70.457
Andrew Putnam,185,170,35,70.468
Taylor Pendrith,188,200,32,70.506
Adam Scott,183,180,43,70.506
Jhonattan Vegas,191,230,39,70.521
Alex Smalley,183,160,27,70.535
Alex Noren,180,165,41,70.545
Martin Laird,188,190,41,70.574
K.H. Lee,175,176,32,70.578
Webb Simpson,188,185,38,70.583
Adam Hadwin,173,165,36,70.595
Patrick Rodgers,188,185,31,70.595
Matthias Schwab,180,161,29,70.598
Russell Knox,178,170,38,70.603
Aaron Rai,180,168,29,70.637
Mackenzie Hughes,185,180,33,70.64
J.J. Spaun,175,185,33,70.669
Luke List,188,190,39,70.679
Tyler Duncan,173,150,34,70.696
Cam Davis,193,181,29,70.714
Lanto Griffin,191,190,35,70.735
John Huh,183,190,34,70.737
Ryan Palmer,180,175,47,70.763
Wyndham Clark,183,172,30,70.771
Satoshi Kodaira,170,150,34,70.785
Sahith Theegala,191,200,26,70.788
Callum Tarren,183,185,33,70.801
